No,Nama File,Kategori,Kode Kat,Nama Sampah,Nama Folder,Dapat Terurai,Waktu Urai,Daur Ulang,Nilai Jual,Kesulitan Daur Ulang,Nilai Jual (Rp/kg),Biaya Proses (Rp/kg),Emisi CO2e (kg),Potensi Pengolahan,Jenis Bahaya,Metode Pengumpulan,waktu_urai_bulan,kategori_urai,kesulitan_encoded,nj_encoded,bp_encoded,cost_burden,high_cost_burden,potensi_pengolahan_enc,jenis_bahaya_enc,metode_pengumpulan_enc,kategori_enc,env_impact_score,econ_burden_score,recyclability_index
1,botol_kaca_1,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,4,3,1,0,4,2,0,0.6170403587443947,0.9,0.48750000000000004
2,botol_kaca_2,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,4,3,1,0,4,2,0,0.6170403587443947,0.9,0.48750000000000004
3,botol_kaca_3,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,4,3,1,0,4,2,0,0.6170403587443947,0.9,0.48750000000000004
4,botol_kaca_4,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,4,3,1,0,4,2,0,0.6170403587443947,0.9,0.48750000000000004
5,botol_kaca_5,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,4,3,1,0,4,2,0,0.6170403587443947,0.9,0.48750000000000004
6,botol_kaca_6,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,4,3,1,0,4,2,0,0.6170403587443947,0.9,0.48750000000000004
7,botol_kaca_7,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,4,3,1,0,4,2,0,0.6170403587443947,0.9,0.48750000000000004
8,botol_kaca_8,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,4,3,1,0,4,2,0,0.6170403587443947,0.9,0.48750000000000004
9,botol_kaca_9,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,4,3,1,0,4,2,0,0.6170403587443947,0.9,0.48750000000000004
10,botol_kaca_10,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,4,3,1,0,4,2,0,0.6170403587443947,0.9,0.48750000000000004
11,botol_kaca_11,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,4,3,1,0,4,2,0,0.6170403587443947,0.9,0.48750000000000004
12,botol_kaca_12,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,4,3,1,0,4,2,0,0.6170403587443947,0.9,0.48750000000000004
13,botol_kaca_13,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,4,3,1,0,4,2,0,0.6170403587443947,0.9,0.48750000000000004
14,botol_kaca_14,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,4,3,1,0,4,2,0,0.6170403587443947,0.9,0.48750000000000004
15,botol_kaca_15,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,4,3,1,0,4,2,0,0.6170403587443947,0.9,0.48750000000000004
16,botol_kaca_16,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,4,3,1,0,4,2,0,0.6170403587443947,0.9,0.48750000000000004
17,botol_kaca_17,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,4,3,1,0,4,2,0,0.6170403587443947,0.9,0.48750000000000004
18,botol_kaca_18,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,4,3,1,0,4,2,0,0.6170403587443947,0.9,0.48750000000000004
19,botol_kaca_19,Anorganik,ANO,Botol kaca minuman,botol_kaca,0,1 juta tahun,1,1,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,Tidak berbahaya,Pengepul,12000000.0,Lama,4,1,4,3,1,0,4,2,0,0.6170403587443947,0.9,0.48750000000000004
